date,open,high,low,close,volume,pct_change,target,symbol
30-09-2008,400,436,392.55,431.65,357373,0.020811162,1,ADANIPORTS
01-10-2008,433.8,440,426,434.1,292413,0.005675895,1,ADANIPORTS
03-10-2008,434,439.85,422.4,431.85,282657,-0.005183138,0,ADANIPORTS
06-10-2008,425,433,407.05,412.15,234652,-0.045617691,0,ADANIPORTS
07-10-2008,410,472,405.1,415.25,647919,0.007521533,1,ADANIPORTS
08-10-2008,400,409.95,381.1,396.75,560925,-0.044551475,0,ADANIPORTS
10-10-2008,379.7,388,325.05,349.4,513928,-0.119344675,0,ADANIPORTS
13-10-2008,352.05,387.5,350.1,380.1,323950,0.087864911,1,ADANIPORTS
14-10-2008,400,412,387,398.7,333421,0.048934491,1,ADANIPORTS
15-10-2008,382,393,373,380.4,132672,-0.045899172,0,ADANIPORTS
16-10-2008,352.55,407.4,342.05,400.5,329381,0.052839117,1,ADANIPORTS
17-10-2008,408.4,408.4,388.3,401,200412,0.001248439,1,ADANIPORTS
20-10-2008,400.1,415.5,380.3,410,245317,0.02244389,1,ADANIPORTS
21-10-2008,417.9,440,402,436,231715,0.063414634,1,ADANIPORTS
22-10-2008,425,434,418.85,420.25,92909,-0.036123853,0,ADANIPORTS
23-10-2008,402.3,415,390.15,405.3,95940,-0.035574063,0,ADANIPORTS
24-10-2008,398,404.7,361.15,375.4,605104,-0.073772514,0,ADANIPORTS
27-10-2008,375,377.9,321.5,340.25,262479,-0.093633458,0,ADANIPORTS
28-10-2008,379.8,379.8,358,364.05,37336,0.069948567,1,ADANIPORTS
29-10-2008,374.7,378,338.15,342.65,115919,-0.058783134,0,ADANIPORTS
31-10-2008,357,365,349.15,357.9,227297,0.044506056,1,ADANIPORTS
03-11-2008,371,373,352,355.35,435536,-0.007124895,0,ADANIPORTS
04-11-2008,357,357,340,347.3,426295,-0.022653722,0,ADANIPORTS
05-11-2008,360,368.9,352.4,354.75,364596,0.021451195,1,ADANIPORTS
06-11-2008,331.25,358.5,331.25,348.3,168564,-0.018181818,0,ADANIPORTS
07-11-2008,348,351,337.55,341.15,210164,-0.02052828,0,ADANIPORTS
10-11-2008,348.95,352.9,340.55,343.25,173863,0.00615565,1,ADANIPORTS
11-11-2008,345,360,341.1,346.25,291545,0.008739985,1,ADANIPORTS
12-11-2008,349,349,335,339.55,189310,-0.019350181,0,ADANIPORTS
14-11-2008,342.2,351,320,322.85,132990,-0.049182742,0,ADANIPORTS
17-11-2008,327.25,336.8,316.05,329.45,261195,0.02044293,1,ADANIPORTS
18-11-2008,325,327.8,317.6,324.8,79370,-0.014114433,0,ADANIPORTS
19-11-2008,324.2,331.85,303.2,309.8,77962,-0.046182266,0,ADANIPORTS
20-11-2008,303,303,285,288.15,110134,-0.069883796,0,ADANIPORTS
21-11-2008,290,293.9,275,285.65,117231,-0.008676037,0,ADANIPORTS
24-11-2008,288,290,276,280.9,198251,-0.016628741,0,ADANIPORTS
25-11-2008,286,289.9,272.05,275.4,105896,-0.019579922,0,ADANIPORTS
26-11-2008,276.2,279.7,265,268.45,87649,-0.02523602,0,ADANIPORTS
28-11-2008,267,267,256,257.95,69478,-0.039113429,0,ADANIPORTS
01-12-2008,257,275,255,265.65,139673,0.029850746,1,ADANIPORTS
02-12-2008,258,262.55,253.65,259.45,113639,-0.02333898,0,ADANIPORTS
03-12-2008,261.1,269.95,259.25,262.55,74585,0.011948352,1,ADANIPORTS
04-12-2008,262.2,272,262.2,270.3,75654,0.029518187,1,ADANIPORTS
05-12-2008,272.15,281.7,265.2,269.4,68500,-0.003329634,0,ADANIPORTS
08-12-2008,275.05,282,263.15,265.25,70425,-0.015404603,0,ADANIPORTS
10-12-2008,266.55,283.9,266,279.4,387501,0.0533459,1,ADANIPORTS
11-12-2008,284.45,296.45,280.3,284.25,249195,0.017358626,1,ADANIPORTS
12-12-2008,280,288.9,272,282.65,93313,-0.005628848,0,ADANIPORTS
15-12-2008,294,301.9,286,293.2,191129,0.037325314,1,ADANIPORTS
16-12-2008,293,327.9,292.9,321.05,449031,0.094986357,1,ADANIPORTS
17-12-2008,327.5,346.1,302.1,307.75,686034,-0.041426569,0,ADANIPORTS
18-12-2008,315,319.7,305.05,314.4,202116,0.021608448,1,ADANIPORTS
19-12-2008,316,327.2,311,320.55,231389,0.019561069,1,ADANIPORTS
22-12-2008,322,326,310,311.7,100133,-0.027608797,0,ADANIPORTS
23-12-2008,308,318.8,301.1,309.65,157755,-0.006576837,0,ADANIPORTS
24-12-2008,305.1,318,305.1,312.8,132623,0.010172776,1,ADANIPORTS
26-12-2008,313.5,316.95,303,305.45,68099,-0.023497442,0,ADANIPORTS
29-12-2008,310,319,302,315.75,79084,0.03372074,1,ADANIPORTS
30-12-2008,325.8,335,313.1,319.7,115880,0.012509897,1,ADANIPORTS
31-12-2008,323,329.7,323,325.3,131274,0.017516422,1,ADANIPORTS
01-01-2009,328,336.9,325.35,333.8,136138,0.026129726,1,ADANIPORTS
02-01-2009,336.5,344.7,329,331.25,169149,-0.007639305,0,ADANIPORTS
05-01-2009,335.3,395,333,390.4,1478252,0.178566038,1,ADANIPORTS
06-01-2009,397,408.9,380.25,395.2,1340260,0.012295082,1,ADANIPORTS
07-01-2009,400,406.9,347.1,352.05,626963,-0.109185223,0,ADANIPORTS
09-01-2009,345.65,364,318.05,338,229193,-0.039909104,0,ADANIPORTS
12-01-2009,343,382.3,343,369.85,839495,0.094230769,1,ADANIPORTS
13-01-2009,373,374,328.6,349.75,601140,-0.054346357,0,ADANIPORTS
14-01-2009,365,389.5,361.35,384.75,543230,0.10007148,1,ADANIPORTS
15-01-2009,380,380,361,373.1,261690,-0.030279402,0,ADANIPORTS
16-01-2009,375,385,367,375.45,222985,0.006298579,1,ADANIPORTS
19-01-2009,379.7,379.7,360.1,362.7,147342,-0.033959249,0,ADANIPORTS
20-01-2009,360,382.5,352,375.05,470213,0.034050179,1,ADANIPORTS
21-01-2009,370,375,353.15,356.55,162450,-0.049326756,0,ADANIPORTS
22-01-2009,364,371.7,354.1,369.1,155032,0.035198429,1,ADANIPORTS
23-01-2009,369.1,372.9,359.1,363.9,290005,-0.014088323,0,ADANIPORTS
27-01-2009,370,380,368,375.7,133817,0.032426491,1,ADANIPORTS
28-01-2009,381,396.7,378,394.55,213076,0.05017301,1,ADANIPORTS
29-01-2009,400,402,380,381.45,120451,-0.033202382,0,ADANIPORTS
30-01-2009,376.5,403,376.5,386.15,569737,0.012321405,1,ADANIPORTS
02-02-2009,389.9,402,383,389.6,332022,0.008934352,1,ADANIPORTS
03-02-2009,392,396.9,380,380.6,129965,-0.023100616,0,ADANIPORTS
04-02-2009,385,388.95,367,368.55,307096,-0.031660536,0,ADANIPORTS
05-02-2009,372,372,363.1,367.9,200590,-0.001763668,0,ADANIPORTS
06-02-2009,372,379.5,370,375.2,244915,0.019842348,1,ADANIPORTS
09-02-2009,375.55,387.5,375.35,385.5,177584,0.027452026,1,ADANIPORTS
10-02-2009,386,403,374,376.45,339949,-0.023476005,0,ADANIPORTS
11-02-2009,374,378,365,371.6,122130,-0.012883517,0,ADANIPORTS
12-02-2009,371.2,379.7,366,367.4,191178,-0.011302476,0,ADANIPORTS
13-02-2009,373,378,366.55,368.3,158836,0.002449646,1,ADANIPORTS
16-02-2009,372.7,372.7,356.75,358.55,151292,-0.026472984,0,ADANIPORTS
17-02-2009,355,357,344,345.95,91113,-0.035141542,0,ADANIPORTS
18-02-2009,340,346.7,333,334.15,123069,-0.034108975,0,ADANIPORTS
19-02-2009,334,356.7,332,352,473586,0.053419123,1,ADANIPORTS
20-02-2009,348,361.5,347,351.25,370436,-0.002130682,0,ADANIPORTS
