date,open,high,low,close,volume,pct_change,target,symbol,MA5,MA10,MA20,Volatility,RSI,lag_close_1,lag_pct_1
25-06-2008,0.016516204,0.016529605,0.016408089,0.016453696,0.001357162,-0.033409531,0.0,ADANIPORTS,0.017903651,0.018309371,0.019973944,0.002519808,0.291190707,568.7,-0.004115226
26-06-2008,0.017294846,0.017216782,0.015912088,0.015806872,0.001369408,-0.03865745,0.0,ADANIPORTS,0.017162335,0.018108882,0.019495111,0.003130601,0.287516727,549.7,-0.033409531
27-06-2008,0.014869076,0.015061136,0.014782992,0.014819133,0.001414929,-0.061405999,0.0,ADANIPORTS,0.01637465,0.017787422,0.019035031,0.003993351,0.28164794,528.45,-0.03865745
30-06-2008,0.014599546,0.014949097,0.014796855,0.014762821,0.000795661,-0.003729839,0.0,ADANIPORTS,0.015902345,0.017396769,0.018610504,0.004455419,0.306313646,496.0,-0.061405999
01-07-2008,0.014719337,0.014796722,0.014371711,0.0142758,0.000552662,-0.032378832,0.0,ADANIPORTS,0.015346206,0.016926907,0.018202229,0.004725529,0.235378617,494.15,-0.003729839
02-07-2008,0.012892522,0.014944615,0.011694537,0.014371682,0.004106497,0.006587891,1.0,ADANIPORTS,0.014926106,0.016471993,0.017857013,0.004648674,0.259433962,478.15,-0.032378832
03-07-2008,0.013850851,0.013810772,0.012800527,0.013216529,0.002095835,-0.078848951,0.0,ADANIPORTS,0.014403439,0.015837702,0.017522267,0.004262043,0.203139777,481.3,0.006587891
04-07-2008,0.013192,0.013449257,0.013080876,0.013431123,0.00110436,0.015901658,1.0,ADANIPORTS,0.014123373,0.015301883,0.017226591,0.003592253,0.160087719,443.35,-0.078848951
07-07-2008,0.01338666,0.014468072,0.013770965,0.013947061,0.001131585,0.037633215,1.0,ADANIPORTS,0.013958773,0.014982272,0.016999598,0.00321852,0.183685332,450.4,0.015901658
08-07-2008,0.013431582,0.014016925,0.012831335,0.013706594,0.001242775,-0.016903819,0.0,ADANIPORTS,0.013843922,0.014645555,0.01679675,0.00262047,0.179375591,467.35,0.037633215
09-07-2008,0.014090433,0.016181534,0.014248481,0.016503921,0.004887218,0.200021765,1.0,ADANIPORTS,0.014274155,0.014650641,0.016709626,0.002648083,0.354420959,459.45,-0.016903819
10-07-2008,0.016516204,0.017723202,0.016990351,0.017003117,0.007115214,0.029745171,1.0,ADANIPORTS,0.015038194,0.014771766,0.016669385,0.003200265,0.413714111,551.35,0.200021765
11-07-2008,0.016815682,0.017037518,0.016317207,0.016351726,0.001949131,-0.037692646,0.0,ADANIPORTS,0.0156275,0.014926949,0.016585073,0.003500576,0.458220568,567.75,0.029745171
14-07-2008,0.015917248,0.0167985,0.016015293,0.016003202,0.002308468,-0.020957262,0.0,ADANIPORTS,0.016042378,0.015052543,0.016450675,0.003642662,0.444535609,546.35,-0.037692646
15-07-2008,0.01561777,0.015573532,0.014679787,0.014575622,0.00173083,-0.08767994,0.0,ADANIPORTS,0.016217727,0.015082902,0.016227823,0.003614467,0.407245941,534.9,-0.020957262
